Model,Input Length,Output Length,Unit Price (per 1M tokens),Batch API Price,Status,Cached Price,Capabilities
GLM-5.1,"[0, 32)",-,6,24,限时免费,1.3,文本
GLM-5.1,[32+),-,8,28,限时免费,2,文本
GLM-5-Turbo,"[0, 32)",-,5,22,限时免费,1.2,文本
GLM-5-Turbo,[32+),-,7,26,限时免费,1.8,文本
GLM-5,"[0, 32)",-,4,18,限时免费,1,文本
GLM-5,[32+),-,6,22,限时免费,1.5,文本
GLM-4.7,"[0, 32)","[0, 0.2)",2,8,限时免费,0.4,文本
GLM-4.7,"[0, 32)",[0.2+),3,14,限时免费,0.6,文本
GLM-4.7,"[32, 200)",-,4,16,限时免费,0.8,文本
GLM-4.5-Air,"[0, 32)","[0, 0.2)",0.8,2,限时免费,0.16,文本
GLM-4.5-Air,"[0, 32)",[0.2+),0.8,6,限时免费,0.16,文本
GLM-4.5-Air,"[32, 128)",-,1.2,8,限时免费,0.24,文本
GLM-4.7-FlashX,200K,-,0.5,3,限时免费,0.1,文本
GLM-4.7-Flash,200K,-,免费,免费,免费,免费,文本
GLM-5V-Turbo,"[0, 32)",-,5,22,限时免费,1.2,图片、视频、文件、文本
GLM-5V-Turbo,[32+),-,7,26,限时免费,1.8,图片、视频、文件、文本
GLM-4.6V,"[0, 32)",-,1,3,限时免费,0.2,图片、视频、文件、文本
GLM-4.6V,"[32, 128)",-,2,6,限时免费,0.4,图片、视频、文件、文本
GLM-4.6V-FlashX,"[0, 32)",-,0.15,1.5,限时免费,0.03,图片、视频、文件、文本
GLM-4.6V-FlashX,"[32, 128)",-,0.3,3,限时免费,0.03,图片、视频、文件、文本
GLM-4.6V-Flash,/,-,免费,免费,免费,免费,图片、视频、文件、文本
GLM-4.5V,"[0, 32)",-,2,6,限时免费,0.4,图片、视频、文件、文本
GLM-4.5V,"[32, 64)",-,4,12,限时免费,0.8,图片、视频、文件、文本
